C copy string: rs=cd:ab;a,d,r,s;ac,bc,cr,s; ineq: base19.txt
I    5.07] Elapsed: 5.07, vertices: 159, facets final: 23, pending: 14492, pool: 197
I   10.15] Elapsed: 10.15, vertices: 224, facets final: 38, pending: 20584, pool: 219
I   15.24] Elapsed: 15.24, vertices: 267, facets final: 59, pending: 22485, pool: 268
I   20.30] Elapsed: 20.30, vertices: 309, facets final: 78, pending: 24154, pool: 298
I   25.33] Elapsed: 25.33, vertices: 351, facets final: 94, pending: 26506, pool: 300
I   30.35] Elapsed: 30.35, vertices: 392, facets final: 110, pending: 28159, pool: 298
I   35.37] Elapsed: 35.37, vertices: 429, facets final: 125, pending: 30247, pool: 299
I   40.37] Elapsed: 40.37, vertices: 463, facets final: 140, pending: 32859, pool: 300
I   45.49] Elapsed: 45.49, vertices: 496, facets final: 147, pending: 34375, pool: 298
I   50.57] Elapsed: 50.57, vertices: 528, facets final: 158, pending: 35180, pool: 300
I   55.58] Elapsed: 55.58, vertices: 558, facets final: 167, pending: 36267, pool: 300
I   60.67] Elapsed: 1:01, vertices: 589, facets final: 184, pending: 36567, pool: 299
I   65.79] Elapsed: 1:06, vertices: 618, facets final: 198, pending: 37666, pool: 300
I   70.92] Elapsed: 1:11, vertices: 646, facets final: 211, pending: 38342, pool: 300
I   75.94] Elapsed: 1:16, vertices: 673, facets final: 221, pending: 38306, pool: 300
I   81.01] Elapsed: 1:21, vertices: 698, facets final: 235, pending: 39474, pool: 299
I   86.03] Elapsed: 1:26, vertices: 723, facets final: 246, pending: 40426, pool: 300
I   91.21] Elapsed: 1:31, vertices: 749, facets final: 258, pending: 40765, pool: 300
I   96.25] Elapsed: 1:36, vertices: 774, facets final: 276, pending: 41532, pool: 300
I  101.41] Elapsed: 1:41, vertices: 798, facets final: 293, pending: 42862, pool: 300
I  106.58] Elapsed: 1:47, vertices: 821, facets final: 310, pending: 43416, pool: 300
I  111.81] Elapsed: 1:52, vertices: 845, facets final: 317, pending: 44730, pool: 300
I  117.00] Elapsed: 1:57, vertices: 867, facets final: 329, pending: 45721, pool: 300
I  122.02] Elapsed: 2:02, vertices: 888, facets final: 332, pending: 46391, pool: 300
I  127.19] Elapsed: 2:07, vertices: 910, facets final: 347, pending: 46867, pool: 300
I  132.35] Elapsed: 2:12, vertices: 932, facets final: 352, pending: 47671, pool: 300
I  137.52] Elapsed: 2:18, vertices: 955, facets final: 358, pending: 47974, pool: 299
I  142.58] Elapsed: 2:23, vertices: 977, facets final: 364, pending: 48216, pool: 300
I  147.68] Elapsed: 2:28, vertices: 999, facets final: 379, pending: 48650, pool: 299
I  152.82] Elapsed: 2:33, vertices: 1018, facets final: 388, pending: 48306, pool: 300
I  157.87] Elapsed: 2:38, vertices: 1038, facets final: 399, pending: 48743, pool: 298
I  162.97] Elapsed: 2:43, vertices: 1057, facets final: 407, pending: 48925, pool: 300
I  168.18] Elapsed: 2:48, vertices: 1076, facets final: 418, pending: 48514, pool: 300
I  173.19] Elapsed: 2:53, vertices: 1094, facets final: 428, pending: 48615, pool: 300
I  178.21] Elapsed: 2:58, vertices: 1110, facets final: 439, pending: 49072, pool: 300
I  183.36] Elapsed: 3:03, vertices: 1129, facets final: 446, pending: 49041, pool: 300
I  188.56] Elapsed: 3:09, vertices: 1149, facets final: 458, pending: 49289, pool: 300
I  193.72] Elapsed: 3:14, vertices: 1168, facets final: 464, pending: 49131, pool: 300
I  198.73] Elapsed: 3:19, vertices: 1186, facets final: 475, pending: 49344, pool: 300
I  204.08] Elapsed: 3:24, vertices: 1204, facets final: 489, pending: 49200, pool: 300
I  209.13] Elapsed: 3:29, vertices: 1226, facets final: 504, pending: 49061, pool: 300
I  214.25] Elapsed: 3:34, vertices: 1245, facets final: 522, pending: 49365, pool: 300
I  219.39] Elapsed: 3:39, vertices: 1265, facets final: 537, pending: 48828, pool: 300
I  224.48] Elapsed: 3:44, vertices: 1285, facets final: 554, pending: 49101, pool: 300
I  229.59] Elapsed: 3:50, vertices: 1303, facets final: 565, pending: 48459, pool: 300
I  234.82] Elapsed: 3:55, vertices: 1324, facets final: 580, pending: 49025, pool: 300
I  239.96] Elapsed: 4:00, vertices: 1343, facets final: 599, pending: 49538, pool: 300
I  245.04] Elapsed: 4:05, vertices: 1364, facets final: 609, pending: 49571, pool: 300
I  250.11] Elapsed: 4:10, vertices: 1383, facets final: 628, pending: 49795, pool: 300
I  255.32] Elapsed: 4:15, vertices: 1403, facets final: 646, pending: 50118, pool: 300
I  260.54] Elapsed: 4:21, vertices: 1423, facets final: 673, pending: 50214, pool: 300
I  265.64] Elapsed: 4:26, vertices: 1444, facets final: 698, pending: 50698, pool: 298
I  270.75] Elapsed: 4:31, vertices: 1464, facets final: 728, pending: 50675, pool: 299
I  275.84] Elapsed: 4:36, vertices: 1484, facets final: 745, pending: 50266, pool: 300
I  280.97] Elapsed: 4:41, vertices: 1505, facets final: 767, pending: 50442, pool: 298
I  286.00] Elapsed: 4:46, vertices: 1525, facets final: 789, pending: 50514, pool: 300
I  291.07] Elapsed: 4:51, vertices: 1546, facets final: 828, pending: 50499, pool: 297
I  296.07] Elapsed: 4:56, vertices: 1564, facets final: 850, pending: 50213, pool: 299
I  301.14] Elapsed: 5:01, vertices: 1582, facets final: 871, pending: 50360, pool: 300
I  306.18] Elapsed: 5:06, vertices: 1603, facets final: 896, pending: 50239, pool: 300
I  311.23] Elapsed: 5:11, vertices: 1624, facets final: 908, pending: 50241, pool: 300
I  316.37] Elapsed: 5:16, vertices: 1645, facets final: 939, pending: 50182, pool: 300
I  321.59] Elapsed: 5:22, vertices: 1666, facets final: 973, pending: 50023, pool: 300
I  326.64] Elapsed: 5:27, vertices: 1685, facets final: 1009, pending: 50067, pool: 300
I  331.79] Elapsed: 5:32, vertices: 1706, facets final: 1027, pending: 50095, pool: 299
I  336.83] Elapsed: 5:37, vertices: 1727, facets final: 1060, pending: 49928, pool: 300
I  342.03] Elapsed: 5:42, vertices: 1747, facets final: 1094, pending: 49855, pool: 300
I  347.33] Elapsed: 5:47, vertices: 1769, facets final: 1118, pending: 49822, pool: 300
I  352.39] Elapsed: 5:52, vertices: 1789, facets final: 1157, pending: 49463, pool: 300
I  357.39] Elapsed: 5:57, vertices: 1809, facets final: 1186, pending: 49189, pool: 300
I  362.57] Elapsed: 6:03, vertices: 1830, facets final: 1224, pending: 49195, pool: 300
I  367.75] Elapsed: 6:08, vertices: 1851, facets final: 1259, pending: 48758, pool: 300
I  372.77] Elapsed: 6:13, vertices: 1871, facets final: 1295, pending: 48777, pool: 298
I  377.77] Elapsed: 6:18, vertices: 1891, facets final: 1347, pending: 48952, pool: 300
I  382.82] Elapsed: 6:23, vertices: 1910, facets final: 1369, pending: 48813, pool: 300
I  387.90] Elapsed: 6:28, vertices: 1931, facets final: 1404, pending: 48679, pool: 300
I  393.08] Elapsed: 6:33, vertices: 1951, facets final: 1443, pending: 48337, pool: 300
I  398.18] Elapsed: 6:38, vertices: 1970, facets final: 1466, pending: 48389, pool: 300
I  403.19] Elapsed: 6:43, vertices: 1990, facets final: 1490, pending: 48486, pool: 300
I  408.22] Elapsed: 6:48, vertices: 2011, facets final: 1520, pending: 48283, pool: 300
I  413.27] Elapsed: 6:53, vertices: 2031, facets final: 1563, pending: 47870, pool: 300
I  418.27] Elapsed: 6:58, vertices: 2052, facets final: 1595, pending: 47898, pool: 300
I  423.47] Elapsed: 7:03, vertices: 2074, facets final: 1628, pending: 47614, pool: 300
I  428.62] Elapsed: 7:09, vertices: 2096, facets final: 1664, pending: 47358, pool: 300
recalculate_facet: numerical instability at facet 16855, coord 0 (-1.08706e-06)
recalculate_facet: numerical instability at facet 16855, coord 2 (1.85998e-06)
I  433.67] Elapsed: 7:14, vertices: 2117, facets final: 1725, pending: 47188, pool: 299
I  438.82] Elapsed: 7:19, vertices: 2139, facets final: 1766, pending: 46977, pool: 299
I  443.97] Elapsed: 7:24, vertices: 2161, facets final: 1815, pending: 46456, pool: 300
I  449.04] Elapsed: 7:29, vertices: 2183, facets final: 1857, pending: 46260, pool: 300
I  454.11] Elapsed: 7:34, vertices: 2204, facets final: 1881, pending: 46083, pool: 300
I  459.14] Elapsed: 7:39, vertices: 2227, facets final: 1941, pending: 45934, pool: 300
I  464.16] Elapsed: 7:44, vertices: 2250, facets final: 2000, pending: 45594, pool: 300
I  469.16] Elapsed: 7:49, vertices: 2273, facets final: 2041, pending: 45195, pool: 300
I  474.17] Elapsed: 7:54, vertices: 2296, facets final: 2103, pending: 44931, pool: 300
I  479.21] Elapsed: 7:59, vertices: 2317, facets final: 2171, pending: 44991, pool: 300
I  484.29] Elapsed: 8:04, vertices: 2338, facets final: 2237, pending: 44774, pool: 300
I  489.42] Elapsed: 8:09, vertices: 2360, facets final: 2285, pending: 44801, pool: 300
I  494.47] Elapsed: 8:14, vertices: 2383, facets final: 2363, pending: 44691, pool: 300
