C copy string: rs=cd:ab;ad,bd,dr,ds;ac,bc,cr,cs; ineq: base19.txt
I    5.04] Elapsed: 5.04, vertices: 172, facets final: 20, pending: 14339, pool: 297
I   10.07] Elapsed: 10.07, vertices: 233, facets final: 24, pending: 21039, pool: 299
I   15.15] Elapsed: 15.15, vertices: 286, facets final: 31, pending: 23503, pool: 300
I   20.16] Elapsed: 20.16, vertices: 332, facets final: 37, pending: 27802, pool: 300
I   25.22] Elapsed: 25.22, vertices: 375, facets final: 42, pending: 31535, pool: 299
I   30.30] Elapsed: 30.30, vertices: 410, facets final: 49, pending: 34066, pool: 300
I   35.41] Elapsed: 35.41, vertices: 444, facets final: 53, pending: 36193, pool: 300
I   40.54] Elapsed: 40.54, vertices: 476, facets final: 62, pending: 38449, pool: 300
I   45.55] Elapsed: 45.55, vertices: 505, facets final: 70, pending: 41354, pool: 300
I   50.66] Elapsed: 50.66, vertices: 533, facets final: 71, pending: 43000, pool: 300
I   55.77] Elapsed: 55.77, vertices: 559, facets final: 79, pending: 44408, pool: 300
I   60.79] Elapsed: 1:01, vertices: 584, facets final: 92, pending: 46104, pool: 300
I   65.94] Elapsed: 1:06, vertices: 610, facets final: 95, pending: 48289, pool: 300
I   70.94] Elapsed: 1:11, vertices: 634, facets final: 101, pending: 49433, pool: 300
I   76.13] Elapsed: 1:16, vertices: 656, facets final: 105, pending: 50513, pool: 300
I   81.16] Elapsed: 1:21, vertices: 678, facets final: 111, pending: 52686, pool: 300
I   86.16] Elapsed: 1:26, vertices: 698, facets final: 113, pending: 54600, pool: 300
I   91.20] Elapsed: 1:31, vertices: 717, facets final: 118, pending: 55934, pool: 300
I   96.43] Elapsed: 1:36, vertices: 736, facets final: 123, pending: 57626, pool: 300
I  101.50] Elapsed: 1:42, vertices: 754, facets final: 126, pending: 58801, pool: 300
I  106.59] Elapsed: 1:47, vertices: 772, facets final: 129, pending: 59718, pool: 300
I  111.78] Elapsed: 1:52, vertices: 793, facets final: 131, pending: 61209, pool: 299
I  116.85] Elapsed: 1:57, vertices: 811, facets final: 136, pending: 61981, pool: 300
I  122.01] Elapsed: 2:02, vertices: 829, facets final: 139, pending: 63530, pool: 300
I  127.25] Elapsed: 2:07, vertices: 848, facets final: 146, pending: 64098, pool: 300
I  132.42] Elapsed: 2:12, vertices: 866, facets final: 150, pending: 65921, pool: 300
I  137.83] Elapsed: 2:18, vertices: 884, facets final: 154, pending: 67633, pool: 300
I  143.10] Elapsed: 2:23, vertices: 898, facets final: 156, pending: 69241, pool: 300
I  148.25] Elapsed: 2:28, vertices: 914, facets final: 156, pending: 70221, pool: 300
I  153.47] Elapsed: 2:33, vertices: 930, facets final: 160, pending: 71099, pool: 300
I  158.56] Elapsed: 2:39, vertices: 945, facets final: 163, pending: 73065, pool: 300
I  163.68] Elapsed: 2:44, vertices: 958, facets final: 165, pending: 73087, pool: 300
I  168.92] Elapsed: 2:49, vertices: 974, facets final: 167, pending: 74448, pool: 300
I  173.95] Elapsed: 2:54, vertices: 990, facets final: 171, pending: 75048, pool: 300
I  179.05] Elapsed: 2:59, vertices: 1003, facets final: 174, pending: 76177, pool: 300
I  184.14] Elapsed: 3:04, vertices: 1016, facets final: 175, pending: 76471, pool: 300
I  189.44] Elapsed: 3:09, vertices: 1028, facets final: 176, pending: 77108, pool: 300
I  194.53] Elapsed: 3:15, vertices: 1039, facets final: 180, pending: 77481, pool: 300
I  199.57] Elapsed: 3:20, vertices: 1052, facets final: 182, pending: 77864, pool: 300
I  204.77] Elapsed: 3:25, vertices: 1065, facets final: 184, pending: 78676, pool: 300
I  209.93] Elapsed: 3:30, vertices: 1076, facets final: 187, pending: 79166, pool: 300
I  215.27] Elapsed: 3:35, vertices: 1088, facets final: 190, pending: 80047, pool: 300
I  220.44] Elapsed: 3:40, vertices: 1099, facets final: 193, pending: 80402, pool: 300
I  225.77] Elapsed: 3:46, vertices: 1112, facets final: 194, pending: 80954, pool: 300
I  231.05] Elapsed: 3:51, vertices: 1125, facets final: 197, pending: 81266, pool: 300
I  236.23] Elapsed: 3:56, vertices: 1136, facets final: 197, pending: 81921, pool: 300
I  241.41] Elapsed: 4:01, vertices: 1147, facets final: 198, pending: 81840, pool: 300
I  246.60] Elapsed: 4:07, vertices: 1159, facets final: 199, pending: 82477, pool: 300
I  251.61] Elapsed: 4:12, vertices: 1171, facets final: 204, pending: 83040, pool: 300
I  256.83] Elapsed: 4:17, vertices: 1183, facets final: 207, pending: 83516, pool: 300
I  262.19] Elapsed: 4:22, vertices: 1195, facets final: 213, pending: 83866, pool: 300
I  267.40] Elapsed: 4:27, vertices: 1207, facets final: 213, pending: 84153, pool: 299
I  272.93] Elapsed: 4:33, vertices: 1219, facets final: 217, pending: 85250, pool: 300
I  278.09] Elapsed: 4:38, vertices: 1231, facets final: 222, pending: 85611, pool: 300
I  283.43] Elapsed: 4:43, vertices: 1244, facets final: 224, pending: 87084, pool: 299
I  288.77] Elapsed: 4:49, vertices: 1256, facets final: 224, pending: 87562, pool: 300
I  293.92] Elapsed: 4:54, vertices: 1266, facets final: 224, pending: 87967, pool: 300
I  299.03] Elapsed: 4:59, vertices: 1276, facets final: 227, pending: 88493, pool: 300
I  304.36] Elapsed: 5:04, vertices: 1288, facets final: 227, pending: 89203, pool: 300
I  309.39] Elapsed: 5:09, vertices: 1299, facets final: 231, pending: 89678, pool: 300
I  314.49] Elapsed: 5:14, vertices: 1308, facets final: 235, pending: 89960, pool: 300
I  319.99] Elapsed: 5:20, vertices: 1319, facets final: 236, pending: 90595, pool: 299
I  325.21] Elapsed: 5:25, vertices: 1330, facets final: 237, pending: 91274, pool: 300
I  330.60] Elapsed: 5:31, vertices: 1340, facets final: 238, pending: 91710, pool: 300
I  336.05] Elapsed: 5:36, vertices: 1351, facets final: 241, pending: 92524, pool: 300
I  341.59] Elapsed: 5:42, vertices: 1362, facets final: 245, pending: 92918, pool: 300
I  346.83] Elapsed: 5:47, vertices: 1372, facets final: 248, pending: 93006, pool: 300
I  351.86] Elapsed: 5:52, vertices: 1383, facets final: 251, pending: 92609, pool: 300
I  356.88] Elapsed: 5:57, vertices: 1394, facets final: 260, pending: 93140, pool: 300
I  361.93] Elapsed: 6:02, vertices: 1404, facets final: 263, pending: 93556, pool: 300
I  367.12] Elapsed: 6:07, vertices: 1416, facets final: 266, pending: 94280, pool: 300
I  372.56] Elapsed: 6:13, vertices: 1427, facets final: 268, pending: 94485, pool: 300
I  377.79] Elapsed: 6:18, vertices: 1439, facets final: 271, pending: 95051, pool: 300
I  382.97] Elapsed: 6:23, vertices: 1448, facets final: 276, pending: 95107, pool: 300
I  388.52] Elapsed: 6:29, vertices: 1460, facets final: 280, pending: 95691, pool: 300
I  393.74] Elapsed: 6:34, vertices: 1472, facets final: 282, pending: 96290, pool: 300
I  398.84] Elapsed: 6:39, vertices: 1484, facets final: 286, pending: 96863, pool: 299
