C copy string: rs=cd:ab;tu=ac:bds;v=a:bdsu;ar,br,cr,dr;as,bs,cs,ds;at,bt,ct,dt;a
I    6.66] Elapsed: 6.66, vertices: 21, facets final: 6, pending: 338, pool: 3
I   11.84] Elapsed: 11.84, vertices: 29, facets final: 11, pending: 621, pool: 40
I   17.16] Elapsed: 17.16, vertices: 41, facets final: 15, pending: 1160, pool: 52
I   22.65] Elapsed: 22.65, vertices: 54, facets final: 16, pending: 1908, pool: 70
I   28.48] Elapsed: 28.48, vertices: 65, facets final: 18, pending: 2389, pool: 100
I   33.57] Elapsed: 33.57, vertices: 91, facets final: 20, pending: 3904, pool: 100
I   38.66] Elapsed: 38.66, vertices: 118, facets final: 24, pending: 5003, pool: 100
I   43.76] Elapsed: 43.76, vertices: 153, facets final: 26, pending: 6229, pool: 100
I   48.82] Elapsed: 48.82, vertices: 187, facets final: 31, pending: 7736, pool: 100
I   53.93] Elapsed: 53.93, vertices: 217, facets final: 39, pending: 8545, pool: 100
I   58.94] Elapsed: 58.94, vertices: 244, facets final: 46, pending: 9508, pool: 100
I   63.94] Elapsed: 1:04, vertices: 281, facets final: 51, pending: 10755, pool: 100
I   69.01] Elapsed: 1:09, vertices: 313, facets final: 58, pending: 11658, pool: 100
I   74.16] Elapsed: 1:14, vertices: 345, facets final: 67, pending: 12731, pool: 100
I   79.23] Elapsed: 1:19, vertices: 382, facets final: 73, pending: 13687, pool: 100
I   84.24] Elapsed: 1:24, vertices: 414, facets final: 87, pending: 14457, pool: 100
I   89.26] Elapsed: 1:29, vertices: 446, facets final: 102, pending: 15908, pool: 100
I   94.27] Elapsed: 1:34, vertices: 476, facets final: 115, pending: 16493, pool: 100
I   99.45] Elapsed: 1:39, vertices: 519, facets final: 121, pending: 17594, pool: 99
I  104.53] Elapsed: 1:45, vertices: 550, facets final: 131, pending: 18313, pool: 100
I  109.60] Elapsed: 1:50, vertices: 579, facets final: 139, pending: 18747, pool: 100
I  114.69] Elapsed: 1:55, vertices: 612, facets final: 150, pending: 19406, pool: 100
I  119.71] Elapsed: 2:00, vertices: 638, facets final: 163, pending: 19856, pool: 100
I  124.80] Elapsed: 2:05, vertices: 669, facets final: 173, pending: 20164, pool: 100
I  129.82] Elapsed: 2:10, vertices: 703, facets final: 188, pending: 20747, pool: 100
I  134.85] Elapsed: 2:15, vertices: 732, facets final: 202, pending: 20731, pool: 100
I  139.89] Elapsed: 2:20, vertices: 768, facets final: 209, pending: 21034, pool: 100
I  144.98] Elapsed: 2:25, vertices: 805, facets final: 220, pending: 21041, pool: 100
I  150.03] Elapsed: 2:30, vertices: 836, facets final: 232, pending: 21001, pool: 100
I  155.03] Elapsed: 2:35, vertices: 867, facets final: 246, pending: 21239, pool: 100
I  160.03] Elapsed: 2:40, vertices: 900, facets final: 257, pending: 21362, pool: 100
I  165.08] Elapsed: 2:45, vertices: 927, facets final: 279, pending: 21630, pool: 99
I  170.11] Elapsed: 2:50, vertices: 959, facets final: 293, pending: 21521, pool: 100
I  175.11] Elapsed: 2:55, vertices: 994, facets final: 312, pending: 21334, pool: 100
I  180.12] Elapsed: 3:00, vertices: 1024, facets final: 325, pending: 21448, pool: 100
I  185.18] Elapsed: 3:05, vertices: 1060, facets final: 341, pending: 21259, pool: 100
I  190.22] Elapsed: 3:10, vertices: 1083, facets final: 357, pending: 21402, pool: 100
I  195.23] Elapsed: 3:15, vertices: 1113, facets final: 372, pending: 21417, pool: 100
I  200.32] Elapsed: 3:20, vertices: 1138, facets final: 395, pending: 21630, pool: 99
I  205.41] Elapsed: 3:25, vertices: 1169, facets final: 404, pending: 22013, pool: 100
