C applying rule 23.txt for base.txt
Using 2 threads
I    5.02] Elapsed: 5.02, vertices: 225, facets final: 26, pending: 15062, pool: 100
I   10.03] Elapsed: 10.03, vertices: 349, facets final: 49, pending: 18690, pool: 100
I   15.04] Elapsed: 15.04, vertices: 465, facets final: 66, pending: 21754, pool: 100
I   20.04] Elapsed: 20.04, vertices: 575, facets final: 100, pending: 24293, pool: 100
I   25.05] Elapsed: 25.05, vertices: 668, facets final: 128, pending: 25990, pool: 100
I   30.09] Elapsed: 30.09, vertices: 757, facets final: 154, pending: 26552, pool: 100
I   35.12] Elapsed: 35.12, vertices: 840, facets final: 170, pending: 27301, pool: 99
I   40.14] Elapsed: 40.14, vertices: 921, facets final: 204, pending: 28610, pool: 100
I   45.16] Elapsed: 45.16, vertices: 1002, facets final: 224, pending: 29999, pool: 100
I   50.18] Elapsed: 50.18, vertices: 1076, facets final: 249, pending: 32014, pool: 100
I   55.22] Elapsed: 55.22, vertices: 1146, facets final: 273, pending: 33080, pool: 100
I   60.24] Elapsed: 1:00, vertices: 1210, facets final: 290, pending: 34047, pool: 100
I   65.24] Elapsed: 1:05, vertices: 1275, facets final: 317, pending: 34510, pool: 100
I   70.32] Elapsed: 1:10, vertices: 1341, facets final: 343, pending: 35350, pool: 100
I   75.33] Elapsed: 1:15, vertices: 1400, facets final: 367, pending: 36508, pool: 100
I   80.34] Elapsed: 1:20, vertices: 1458, facets final: 394, pending: 37337, pool: 100
I   85.55] Elapsed: 1:26, vertices: 1510, facets final: 407, pending: 38270, pool: 100
I   90.63] Elapsed: 1:31, vertices: 1568, facets final: 422, pending: 38813, pool: 100
I   95.63] Elapsed: 1:36, vertices: 1623, facets final: 442, pending: 39262, pool: 100
I  100.63] Elapsed: 1:41, vertices: 1673, facets final: 456, pending: 39660, pool: 100
I  105.70] Elapsed: 1:46, vertices: 1728, facets final: 483, pending: 40516, pool: 100
I  110.75] Elapsed: 1:51, vertices: 1785, facets final: 505, pending: 40890, pool: 100
I  115.85] Elapsed: 1:56, vertices: 1833, facets final: 527, pending: 41221, pool: 100
I  120.86] Elapsed: 2:01, vertices: 1883, facets final: 550, pending: 41961, pool: 100
I  125.94] Elapsed: 2:06, vertices: 1933, facets final: 579, pending: 42252, pool: 100
I  130.97] Elapsed: 2:11, vertices: 1988, facets final: 600, pending: 42639, pool: 100
I  135.97] Elapsed: 2:16, vertices: 2033, facets final: 619, pending: 43360, pool: 100
I  141.02] Elapsed: 2:21, vertices: 2078, facets final: 639, pending: 43865, pool: 100
I  146.02] Elapsed: 2:26, vertices: 2125, facets final: 661, pending: 44224, pool: 100
I  151.10] Elapsed: 2:31, vertices: 2171, facets final: 691, pending: 44808, pool: 100
I  156.17] Elapsed: 2:36, vertices: 2215, facets final: 709, pending: 45059, pool: 100
I  161.23] Elapsed: 2:41, vertices: 2267, facets final: 739, pending: 45346, pool: 100
I  166.32] Elapsed: 2:46, vertices: 2311, facets final: 757, pending: 45514, pool: 100
I  171.39] Elapsed: 2:51, vertices: 2347, facets final: 777, pending: 45603, pool: 100
I  176.45] Elapsed: 2:56, vertices: 2385, facets final: 801, pending: 45433, pool: 100
I  181.57] Elapsed: 3:02, vertices: 2424, facets final: 820, pending: 45938, pool: 100
I  186.69] Elapsed: 3:07, vertices: 2463, facets final: 835, pending: 46023, pool: 100
I  191.69] Elapsed: 3:12, vertices: 2501, facets final: 852, pending: 46070, pool: 100
I  196.69] Elapsed: 3:17, vertices: 2540, facets final: 878, pending: 46270, pool: 100
I  201.99] Elapsed: 3:22, vertices: 2572, facets final: 898, pending: 46281, pool: 100
I  207.07] Elapsed: 3:27, vertices: 2614, facets final: 917, pending: 46452, pool: 100
I  212.12] Elapsed: 3:32, vertices: 2650, facets final: 930, pending: 46574, pool: 100
I  217.12] Elapsed: 3:37, vertices: 2687, facets final: 951, pending: 46823, pool: 100
I  222.24] Elapsed: 3:42, vertices: 2717, facets final: 969, pending: 46794, pool: 100
I  227.31] Elapsed: 3:47, vertices: 2754, facets final: 997, pending: 46768, pool: 100
I  232.31] Elapsed: 3:52, vertices: 2791, facets final: 1023, pending: 46655, pool: 100
I  237.37] Elapsed: 3:57, vertices: 2834, facets final: 1049, pending: 46690, pool: 100
I  242.37] Elapsed: 4:02, vertices: 2881, facets final: 1077, pending: 46638, pool: 100
I  247.45] Elapsed: 4:07, vertices: 2924, facets final: 1104, pending: 46538, pool: 100
I  252.45] Elapsed: 4:12, vertices: 2966, facets final: 1120, pending: 46547, pool: 100
I  257.52] Elapsed: 4:18, vertices: 3009, facets final: 1141, pending: 46739, pool: 100
I  262.61] Elapsed: 4:23, vertices: 3053, facets final: 1165, pending: 46729, pool: 100
I  267.68] Elapsed: 4:28, vertices: 3089, facets final: 1199, pending: 46870, pool: 100
I  272.72] Elapsed: 4:33, vertices: 3126, facets final: 1222, pending: 46869, pool: 100
I  277.78] Elapsed: 4:38, vertices: 3164, facets final: 1257, pending: 46974, pool: 100
I  282.79] Elapsed: 4:43, vertices: 3198, facets final: 1290, pending: 46852, pool: 100
I  287.84] Elapsed: 4:48, vertices: 3231, facets final: 1322, pending: 46764, pool: 100
I  292.98] Elapsed: 4:53, vertices: 3268, facets final: 1342, pending: 47065, pool: 100
I  298.12] Elapsed: 4:58, vertices: 3306, facets final: 1375, pending: 46982, pool: 100
I  303.22] Elapsed: 5:03, vertices: 3341, facets final: 1412, pending: 46713, pool: 100
I  308.30] Elapsed: 5:08, vertices: 3383, facets final: 1463, pending: 46477, pool: 100
I  313.30] Elapsed: 5:13, vertices: 3420, facets final: 1495, pending: 46439, pool: 100
I  318.33] Elapsed: 5:18, vertices: 3460, facets final: 1531, pending: 46439, pool: 100
I  323.43] Elapsed: 5:23, vertices: 3499, facets final: 1563, pending: 46393, pool: 100
I  328.48] Elapsed: 5:28, vertices: 3536, facets final: 1591, pending: 46309, pool: 100
I  333.50] Elapsed: 5:34, vertices: 3577, facets final: 1627, pending: 46088, pool: 100
I  338.57] Elapsed: 5:39, vertices: 3618, facets final: 1664, pending: 45948, pool: 100
I  343.57] Elapsed: 5:44, vertices: 3658, facets final: 1686, pending: 45825, pool: 100
I  348.62] Elapsed: 5:49, vertices: 3700, facets final: 1715, pending: 45792, pool: 100
I  353.76] Elapsed: 5:54, vertices: 3743, facets final: 1741, pending: 45659, pool: 100
I  358.85] Elapsed: 5:59, vertices: 3774, facets final: 1769, pending: 45423, pool: 100
I  363.91] Elapsed: 6:04, vertices: 3817, facets final: 1820, pending: 45382, pool: 100
I  368.94] Elapsed: 6:09, vertices: 3856, facets final: 1857, pending: 45089, pool: 100
I  373.95] Elapsed: 6:14, vertices: 3893, facets final: 1880, pending: 44908, pool: 100
I  379.10] Elapsed: 6:19, vertices: 3929, facets final: 1903, pending: 44834, pool: 100
I  384.11] Elapsed: 6:24, vertices: 3965, facets final: 1934, pending: 44655, pool: 100
I  389.13] Elapsed: 6:29, vertices: 4004, facets final: 1982, pending: 44673, pool: 100
I  394.19] Elapsed: 6:34, vertices: 4042, facets final: 2029, pending: 44667, pool: 100
I  399.26] Elapsed: 6:39, vertices: 4086, facets final: 2084, pending: 44784, pool: 100
