C applying rule 36.txt for base50.txt
I    5.01] Elapsed: 5.01, vertices: 83, facets final: 24, pending: 4328, pool: 96
I   10.02] Elapsed: 10.02, vertices: 142, facets final: 40, pending: 7405, pool: 123
I   15.09] Elapsed: 15.09, vertices: 179, facets final: 67, pending: 9761, pool: 163
I   20.11] Elapsed: 20.11, vertices: 208, facets final: 93, pending: 10881, pool: 200
I   25.12] Elapsed: 25.12, vertices: 243, facets final: 101, pending: 12153, pool: 194
I   30.19] Elapsed: 30.19, vertices: 270, facets final: 117, pending: 13086, pool: 194
I   35.20] Elapsed: 35.20, vertices: 296, facets final: 128, pending: 13752, pool: 198
I   40.24] Elapsed: 40.24, vertices: 321, facets final: 147, pending: 14493, pool: 199
I   45.31] Elapsed: 45.31, vertices: 346, facets final: 155, pending: 15848, pool: 200
I   50.43] Elapsed: 50.43, vertices: 371, facets final: 166, pending: 16547, pool: 200
I   55.53] Elapsed: 55.53, vertices: 392, facets final: 176, pending: 17263, pool: 200
I   60.72] Elapsed: 1:01, vertices: 413, facets final: 187, pending: 17957, pool: 200
I   65.93] Elapsed: 1:06, vertices: 433, facets final: 200, pending: 18403, pool: 200
I   71.01] Elapsed: 1:11, vertices: 454, facets final: 205, pending: 19148, pool: 200
I   76.11] Elapsed: 1:16, vertices: 472, facets final: 217, pending: 19967, pool: 200
I   81.19] Elapsed: 1:21, vertices: 492, facets final: 230, pending: 20311, pool: 200
I   86.19] Elapsed: 1:26, vertices: 509, facets final: 241, pending: 20658, pool: 200
I   91.38] Elapsed: 1:31, vertices: 527, facets final: 252, pending: 21024, pool: 200
I   96.49] Elapsed: 1:36, vertices: 544, facets final: 260, pending: 21745, pool: 200
I  101.69] Elapsed: 1:42, vertices: 561, facets final: 263, pending: 22040, pool: 200
I  106.74] Elapsed: 1:47, vertices: 578, facets final: 269, pending: 22489, pool: 200
I  111.88] Elapsed: 1:52, vertices: 596, facets final: 275, pending: 23109, pool: 200
I  117.12] Elapsed: 1:57, vertices: 613, facets final: 284, pending: 23286, pool: 200
I  122.24] Elapsed: 2:02, vertices: 630, facets final: 291, pending: 23994, pool: 200
I  127.26] Elapsed: 2:07, vertices: 647, facets final: 298, pending: 24017, pool: 200
I  132.26] Elapsed: 2:12, vertices: 663, facets final: 305, pending: 24496, pool: 200
I  137.54] Elapsed: 2:18, vertices: 679, facets final: 309, pending: 24594, pool: 199
I  142.76] Elapsed: 2:23, vertices: 695, facets final: 316, pending: 24989, pool: 200
I  147.76] Elapsed: 2:28, vertices: 710, facets final: 325, pending: 25079, pool: 200
I  152.91] Elapsed: 2:33, vertices: 725, facets final: 343, pending: 25115, pool: 200
I  158.20] Elapsed: 2:38, vertices: 741, facets final: 355, pending: 25247, pool: 200
I  163.40] Elapsed: 2:43, vertices: 755, facets final: 363, pending: 25014, pool: 200
I  168.42] Elapsed: 2:48, vertices: 770, facets final: 378, pending: 25324, pool: 199
I  173.61] Elapsed: 2:54, vertices: 784, facets final: 390, pending: 25443, pool: 199
I  178.79] Elapsed: 2:59, vertices: 799, facets final: 407, pending: 25507, pool: 200
I  183.84] Elapsed: 3:04, vertices: 813, facets final: 417, pending: 25663, pool: 200
I  188.99] Elapsed: 3:09, vertices: 829, facets final: 428, pending: 25872, pool: 200
I  194.06] Elapsed: 3:14, vertices: 843, facets final: 435, pending: 25945, pool: 200
I  199.33] Elapsed: 3:19, vertices: 857, facets final: 451, pending: 26202, pool: 200
I  204.52] Elapsed: 3:25, vertices: 873, facets final: 462, pending: 26134, pool: 199
I  209.52] Elapsed: 3:30, vertices: 887, facets final: 476, pending: 26404, pool: 200
I  214.73] Elapsed: 3:35, vertices: 901, facets final: 492, pending: 26795, pool: 200
I  219.93] Elapsed: 3:40, vertices: 916, facets final: 499, pending: 26745, pool: 200
I  225.26] Elapsed: 3:45, vertices: 930, facets final: 511, pending: 26918, pool: 200
I  230.29] Elapsed: 3:50, vertices: 944, facets final: 532, pending: 26911, pool: 200
I  235.55] Elapsed: 3:56, vertices: 959, facets final: 539, pending: 26874, pool: 200
I  240.74] Elapsed: 4:01, vertices: 974, facets final: 552, pending: 26831, pool: 200
I  245.99] Elapsed: 4:06, vertices: 990, facets final: 559, pending: 26981, pool: 200
I  251.11] Elapsed: 4:11, vertices: 1003, facets final: 576, pending: 26882, pool: 200
I  256.60] Elapsed: 4:17, vertices: 1017, facets final: 586, pending: 26884, pool: 200
I  261.79] Elapsed: 4:22, vertices: 1031, facets final: 599, pending: 26637, pool: 200
I  266.90] Elapsed: 4:27, vertices: 1046, facets final: 610, pending: 26776, pool: 200
I  271.98] Elapsed: 4:32, vertices: 1060, facets final: 634, pending: 26703, pool: 200
I  277.18] Elapsed: 4:37, vertices: 1074, facets final: 657, pending: 26435, pool: 199
I  282.36] Elapsed: 4:42, vertices: 1089, facets final: 671, pending: 26327, pool: 200
I  287.54] Elapsed: 4:48, vertices: 1103, facets final: 685, pending: 26068, pool: 200
I  292.87] Elapsed: 4:53, vertices: 1119, facets final: 703, pending: 26053, pool: 200
I  297.87] Elapsed: 4:58, vertices: 1133, facets final: 720, pending: 26030, pool: 200
I  303.12] Elapsed: 5:03, vertices: 1147, facets final: 738, pending: 26072, pool: 200
I  308.13] Elapsed: 5:08, vertices: 1161, facets final: 751, pending: 25920, pool: 199
I  313.13] Elapsed: 5:13, vertices: 1176, facets final: 774, pending: 25845, pool: 200
I  318.13] Elapsed: 5:18, vertices: 1190, facets final: 790, pending: 25663, pool: 200
I  323.17] Elapsed: 5:23, vertices: 1203, facets final: 827, pending: 25503, pool: 200
I  328.28] Elapsed: 5:28, vertices: 1218, facets final: 851, pending: 25204, pool: 200
I  333.51] Elapsed: 5:34, vertices: 1233, facets final: 863, pending: 25157, pool: 200
I  338.52] Elapsed: 5:39, vertices: 1248, facets final: 874, pending: 25219, pool: 200
I  343.65] Elapsed: 5:44, vertices: 1264, facets final: 890, pending: 25118, pool: 200
I  348.78] Elapsed: 5:49, vertices: 1280, facets final: 907, pending: 25062, pool: 199
I  353.96] Elapsed: 5:54, vertices: 1295, facets final: 930, pending: 25022, pool: 200
I  359.09] Elapsed: 5:59, vertices: 1309, facets final: 962, pending: 25020, pool: 200
I  364.17] Elapsed: 6:04, vertices: 1325, facets final: 992, pending: 25128, pool: 200
I  369.39] Elapsed: 6:09, vertices: 1340, facets final: 1022, pending: 25270, pool: 200
I  374.63] Elapsed: 6:15, vertices: 1354, facets final: 1064, pending: 25292, pool: 200
I  379.63] Elapsed: 6:20, vertices: 1369, facets final: 1085, pending: 25226, pool: 199
I  384.65] Elapsed: 6:25, vertices: 1384, facets final: 1105, pending: 25231, pool: 200
I  389.84] Elapsed: 6:30, vertices: 1398, facets final: 1134, pending: 25339, pool: 200
I  395.03] Elapsed: 6:35, vertices: 1412, facets final: 1155, pending: 25346, pool: 200
I  400.11] Elapsed: 6:40, vertices: 1428, facets final: 1168, pending: 25292, pool: 200
I  405.25] Elapsed: 6:45, vertices: 1443, facets final: 1182, pending: 25433, pool: 200
I  410.41] Elapsed: 6:50, vertices: 1457, facets final: 1214, pending: 25431, pool: 200
I  415.72] Elapsed: 6:56, vertices: 1473, facets final: 1235, pending: 25446, pool: 199
I  420.75] Elapsed: 7:01, vertices: 1487, facets final: 1264, pending: 25390, pool: 200
I  425.96] Elapsed: 7:06, vertices: 1502, facets final: 1279, pending: 25290, pool: 200
I  431.10] Elapsed: 7:11, vertices: 1516, facets final: 1313, pending: 25273, pool: 200
I  436.27] Elapsed: 7:16, vertices: 1531, facets final: 1338, pending: 25292, pool: 200
I  441.27] Elapsed: 7:21, vertices: 1544, facets final: 1378, pending: 25218, pool: 200
I  446.52] Elapsed: 7:27, vertices: 1559, facets final: 1402, pending: 25173, pool: 200
I  451.83] Elapsed: 7:32, vertices: 1575, facets final: 1423, pending: 25045, pool: 199
I  456.83] Elapsed: 7:37, vertices: 1588, facets final: 1481, pending: 24908, pool: 199
I  461.84] Elapsed: 7:42, vertices: 1602, facets final: 1509, pending: 24885, pool: 200
I  466.85] Elapsed: 7:47, vertices: 1617, facets final: 1552, pending: 24820, pool: 200
I  472.07] Elapsed: 7:52, vertices: 1633, facets final: 1575, pending: 24734, pool: 200
I  477.09] Elapsed: 7:57, vertices: 1648, facets final: 1603, pending: 24613, pool: 199
