C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I    5.55] Elapsed: 5.55, vertices: 73, facets final: 664, pending: 27245, pool: 32
I   10.56] Elapsed: 10.56, vertices: 88, facets final: 903, pending: 31510, pool: 40
I   15.56] Elapsed: 15.56, vertices: 112, facets final: 1559, pending: 29707, pool: 37
I   37.19] Elapsed: 37.19, vertices: 121, facets final: 1767, pending: 85039, pool: 38
I   54.54] Elapsed: 54.54, vertices: 122, facets final: 1769, pending: 119368, pool: 42
I   87.57] Elapsed: 1:28, vertices: 123, facets final: 1769, pending: 136680, pool: 42
I  108.77] Elapsed: 1:49, vertices: 124, facets final: 1777, pending: 118849, pool: 45
I  134.59] Elapsed: 2:15, vertices: 125, facets final: 1785, pending: 164132, pool: 50
I  180.84] Elapsed: 3:01, vertices: 126, facets final: 1794, pending: 162977, pool: 52
I  236.27] Elapsed: 3:56, vertices: 127, facets final: 1795, pending: 216357, pool: 51
I  331.64] Elapsed: 5:32, vertices: 128, facets final: 1802, pending: 254049, pool: 59
I  471.50] Elapsed: 7:52, vertices: 129, facets final: 1806, pending: 311038, pool: 62
I  641.29] Elapsed: 10:41, vertices: 130, facets final: 1806, pending: 402859, pool: 61
I  861.49] Elapsed: 14:21, vertices: 131, facets final: 1807, pending: 411225, pool: 61
I 1119.72] Elapsed: 18:40, vertices: 132, facets final: 1807, pending: 472392, pool: 61
I 1475.10] Elapsed: 24:35, vertices: 133, facets final: 1808, pending: 487941, pool: 70
I 1767.73] Elapsed: 29:28, vertices: 134, facets final: 1808, pending: 475505, pool: 71
I 2085.97] Elapsed: 34:46, vertices: 135, facets final: 1808, pending: 533946, pool: 73
I 2380.15] Elapsed: 39:40, vertices: 136, facets final: 1809, pending: 548837, pool: 73
I 2662.97] Elapsed: 44:23, vertices: 137, facets final: 1809, pending: 535285, pool: 74
I 2933.11] Elapsed: 48:53, vertices: 138, facets final: 1809, pending: 484672, pool: 74
I 3128.83] Elapsed: 52:09, vertices: 139, facets final: 1809, pending: 467850, pool: 76
I 3288.04] Elapsed: 54:48, vertices: 140, facets final: 1809, pending: 460810, pool: 75
I 3487.20] Elapsed: 58:07, vertices: 141, facets final: 1810, pending: 437856, pool: 75
I 3680.17] Elapsed: 1:01:20, vertices: 142, facets final: 1810, pending: 441536, pool: 74
I 3843.53] Elapsed: 1:04:04, vertices: 143, facets final: 1811, pending: 463941, pool: 73
I 3989.27] Elapsed: 1:06:29, vertices: 144, facets final: 1811, pending: 442087, pool: 73
I 4124.03] Elapsed: 1:08:44, vertices: 145, facets final: 1812, pending: 417788, pool: 76
I 4265.55] Elapsed: 1:11:06, vertices: 146, facets final: 1812, pending: 397220, pool: 75
I 4385.79] Elapsed: 1:13:06, vertices: 147, facets final: 1812, pending: 380074, pool: 75
I 4501.09] Elapsed: 1:15:01, vertices: 148, facets final: 1812, pending: 374048, pool: 75
I 4642.34] Elapsed: 1:17:22, vertices: 149, facets final: 1812, pending: 344544, pool: 78
I 4763.43] Elapsed: 1:19:23, vertices: 150, facets final: 1815, pending: 342635, pool: 79
I 4849.35] Elapsed: 1:20:49, vertices: 151, facets final: 1815, pending: 334073, pool: 79
I 4930.85] Elapsed: 1:22:11, vertices: 152, facets final: 1816, pending: 317372, pool: 79
I 4985.50] Elapsed: 1:23:06, vertices: 153, facets final: 1818, pending: 309872, pool: 79
I 5041.29] Elapsed: 1:24:01, vertices: 154, facets final: 1820, pending: 297132, pool: 79
I 5084.08] Elapsed: 1:24:44, vertices: 155, facets final: 1820, pending: 280756, pool: 78
I 5156.20] Elapsed: 1:25:56, vertices: 156, facets final: 1821, pending: 278587, pool: 79
I 5194.37] Elapsed: 1:26:34, vertices: 157, facets final: 1823, pending: 264127, pool: 79
I 5279.32] Elapsed: 1:27:59, vertices: 158, facets final: 1823, pending: 336923, pool: 78
I 5541.11] Elapsed: 1:32:21, vertices: 159, facets final: 1824, pending: 335230, pool: 78
